Name,Price,Availability,Brand name,Rating,Review count,Star-wise reviews,Delivery date,Sponsored tag,Feature list
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,"₹63,990",In Stock,ASUS,4.6,7 Ratings & 0 Reviews,None,None,No,"Intel Core 5 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...,"₹59,550",In Stock,Samsung,4.4,"2,345 Ratings & 207 Reviews",None,None,No,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home and Student 2024 | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,"₹42,990",In Stock,HP,4.2,"2,532 Ratings & 151 Reviews",None,None,No,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty
Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...,"₹47,990",In Stock,Lenovo,4.3,"1,205 Ratings & 80 Reviews",None,None,No,Intel Core i5 Processor (12th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Yr. Onsite + 1 Yr. Accidental Damage Protection
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin a...,"₹29,990",In Stock,Acer,4.1,804 Ratings & 95 Reviews,None,None,No,AMD Ryzen 3 Quad Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹32,630",In Stock,ASUS,4.3,"1,722 Ratings & 115 Reviews",None,None,No,AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty
DELL 15 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Vostro 3530 RPL Laptop,"₹58,990",In Stock,DELL,4.2,713 Ratings & 39 Reviews,None,None,No,"Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | My Dell (Dell Power Manager, Dell Support Assist), Office H&S 2024 | 1 Year Onsite Hardware Service"
"HP 15 Laptop with Backlit Keyboard & MSO'2024, AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows...","₹52,990",In Stock,HP,4.5,30 Ratings & 5 Reviews,None,None,No,AMD Ryzen 7 Octa Core Processor | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + 1 year M365 Basic | 1 Year Onsite Warranty
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 H...","₹38,990",In Stock,ASUS,4.3,"2,371 Ratings & 146 Reviews",None,None,No,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,"₹40,990",In Stock,Lenovo,4.2,"7,052 Ratings & 575 Reviews",None,None,No,AMD Ryzen 5 Hexa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home & Student 2021 | 1 Year Onsite Warranty
